cycle,discharge_cap_Ah,charge_cap_Ah,coulombic_eff_pct,energy_eff_pct,dcir_mohm
1,3.0043,3.0156,99.623,94.944,30.0
2,2.9992,3.0088,99.683,95.005,30.02
3,2.9958,3.005,99.693,95.016,30.05
4,2.9908,3.0001,99.692,95.019,30.07
5,2.9916,2.9976,99.798,95.116,30.1
6,2.9922,3.0016,99.687,95.005,30.12
7,2.9895,2.9992,99.678,94.997,30.14
8,2.9863,2.9957,99.685,95.005,30.17
9,2.9878,2.9971,99.69,95.003,30.19
10,2.9872,2.9965,99.69,95.001,30.22
11,2.9836,2.9913,99.742,95.053,30.24
12,2.983,2.9926,99.68,94.991,30.26
13,2.9799,2.9885,99.711,95.022,30.29
14,2.9827,2.992,99.687,94.99,30.31
15,2.9765,2.9847,99.724,95.032,30.34
16,2.9735,2.9829,99.685,94.996,30.36
17,2.9755,2.9842,99.711,95.014,30.38
18,2.9723,2.9808,99.713,95.017,30.41
19,2.9646,2.9728,99.723,95.035,30.43
20,2.9668,2.9775,99.642,94.951,30.46
21,2.9677,2.9763,99.713,95.013,30.48
22,2.9646,2.9748,99.659,94.963,30.5
23,2.964,2.9732,99.69,94.989,30.53
24,2.9652,2.9737,99.713,95.006,30.55
25,2.9611,2.9693,99.724,95.019,30.58
26,2.9586,2.9686,99.662,94.961,30.6
27,2.9586,2.9673,99.707,95.0,30.62
28,2.9553,2.9652,99.666,94.962,30.65
29,2.9546,2.9661,99.614,94.91,30.67
30,2.9539,2.9627,99.703,94.993,30.7
31,2.9475,2.9567,99.69,94.986,30.72
32,2.9473,2.9558,99.71,95.003,30.74
33,2.9435,2.9535,99.66,94.957,30.77
34,2.9475,2.9557,99.721,95.006,30.79
35,2.94,2.9496,99.671,94.966,30.82
36,2.9435,2.9533,99.668,94.954,30.84
37,2.9444,2.9548,99.65,94.932,30.86
38,2.9403,2.9505,99.654,94.938,30.89
39,2.9408,2.9501,99.684,94.963,30.91
40,2.9356,2.9464,99.633,94.919,30.94
41,2.9382,2.9468,99.707,94.981,30.96
42,2.9346,2.9429,99.718,94.994,30.98
43,2.9322,2.9421,99.664,94.943,31.01
44,2.9282,2.9382,99.659,94.94,31.03
45,2.9311,2.9417,99.639,94.913,31.06
46,2.9254,2.935,99.672,94.951,31.08
47,2.9255,2.9343,99.699,94.972,31.1
48,2.9209,2.9317,99.629,94.91,31.13
49,2.9218,2.9301,99.717,94.988,31.15
50,2.9218,2.9309,99.687,94.956,31.18
51,2.918,2.9271,99.689,94.96,31.2
52,2.9165,2.9252,99.704,94.974,31.22
53,2.9138,2.923,99.683,94.955,31.25
54,2.9136,2.9225,99.695,94.963,31.27
55,2.9126,2.9198,99.755,95.018,31.3
56,2.9136,2.9217,99.723,94.982,31.32
57,2.9048,2.9145,99.667,94.94,31.34
58,2.9061,2.9151,99.693,94.958,31.37
59,2.9011,2.9095,99.712,94.981,31.39
60,2.9064,2.9169,99.637,94.898,31.42
61,2.9006,2.9107,99.652,94.917,31.44
62,2.9011,2.91,99.695,94.954,31.46
63,2.9036,2.9132,99.669,94.922,31.49
64,2.8994,2.9087,99.679,94.935,31.51
65,2.8998,2.9086,99.697,94.947,31.54
66,2.8974,2.9078,99.642,94.895,31.56
67,2.8926,2.9028,99.649,94.906,31.58
68,2.8945,2.9034,99.693,94.942,31.61
69,2.8892,2.8991,99.659,94.914,31.63
70,2.8892,2.8993,99.651,94.903,31.66
71,2.8848,2.8939,99.686,94.94,31.68
72,2.8901,2.8998,99.664,94.907,31.7
73,2.8824,2.8929,99.636,94.889,31.73
74,2.8792,2.8883,99.687,94.939,31.75
75,2.882,2.8916,99.671,94.916,31.78
76,2.8794,2.8888,99.673,94.919,31.8
77,2.8774,2.8883,99.624,94.872,31.82
78,2.8746,2.8841,99.673,94.919,31.85
79,2.8724,2.8824,99.655,94.902,31.87
80,2.8708,2.8806,99.658,94.905,31.9
81,2.8725,2.8825,99.656,94.896,31.92
82,2.8689,2.8778,99.692,94.933,31.94
83,2.869,2.8771,99.718,94.954,31.97
84,2.8619,2.8707,99.693,94.938,31.99
85,2.8635,2.873,99.67,94.91,32.02
86,2.8646,2.8733,99.698,94.932,32.04
87,2.8634,2.8729,99.67,94.903,32.06
88,2.863,2.8729,99.657,94.888,32.09
89,2.8579,2.8669,99.689,94.923,32.11
90,2.8555,2.8633,99.729,94.962,32.14
91,2.8571,2.8649,99.729,94.956,32.16
92,2.8535,2.8634,99.652,94.885,32.18
93,2.8523,2.8613,99.685,94.915,32.21
94,2.8492,2.8585,99.674,94.906,32.23
95,2.8488,2.857,99.711,94.938,32.26
96,2.8459,2.8547,99.693,94.923,32.28
97,2.8444,2.8549,99.633,94.864,32.3
98,2.8427,2.8534,99.625,94.857,32.33
99,2.8428,2.8516,99.692,94.916,32.35
100,2.8413,2.8504,99.679,94.903,32.38
101,2.8427,2.8521,99.668,94.887,32.4
102,2.8382,2.8482,99.651,94.875,32.42
103,2.8331,2.8421,99.682,94.909,32.45
104,2.8312,2.8404,99.678,94.905,32.47
105,2.8331,2.8419,99.692,94.912,32.5
106,2.8315,2.8419,99.633,94.855,32.52
107,2.8308,2.841,99.641,94.86,32.54
108,2.8281,2.8378,99.658,94.877,32.57
109,2.8267,2.8366,99.651,94.869,32.59
110,2.8237,2.8336,99.651,94.87,32.62
111,2.8196,2.8295,99.651,94.874,32.64
112,2.8199,2.8287,99.689,94.907,32.66
113,2.8232,2.8347,99.597,94.81,32.69
114,2.8195,2.8293,99.651,94.864,32.71
115,2.8156,2.8249,99.67,94.886,32.74
116,2.8152,2.8264,99.601,94.817,32.76
117,2.814,2.8239,99.649,94.861,32.78
118,2.8132,2.824,99.616,94.828,32.81
119,2.8126,2.8218,99.675,94.881,32.83
120,2.8076,2.818,99.633,94.846,32.86
121,2.8082,2.8185,99.635,94.844,32.88
122,2.8102,2.8199,99.658,94.859,32.9
123,2.8033,2.8137,99.628,94.838,32.93
124,2.8036,2.8115,99.72,94.922,32.95
125,2.8018,2.8115,99.654,94.859,32.98
126,2.8016,2.8115,99.649,94.851,33.0
127,2.8036,2.8139,99.634,94.83,33.02
128,2.799,2.8087,99.654,94.853,33.05
129,2.7972,2.8081,99.614,94.814,33.07
130,2.7979,2.8079,99.645,94.839,33.1
131,2.793,2.8037,99.62,94.821,33.12
132,2.79,2.7994,99.665,94.865,33.14
133,2.7918,2.801,99.67,94.863,33.17
134,2.7907,2.8,99.668,94.86,33.19
